simTime,src,dst,seq,ttl,viaBefore,arrivalNode
132.3425575863,1000,1001,0,19,16777215,1001
138.4266600525,1000,1001,1,19,16777215,1001
144.2721575883,1000,1001,1,19,16777215,1001
150.3562600545,1000,1001,2,19,16777215,1001
156.2017575903,1000,1001,2,19,16777215,1001
157.2614171151,1000,1001,2,18,16777215,1001
162.2858600565,1000,1001,3,19,16777215,1001
168.1313575923,1000,1001,3,19,16777215,1001
178.1910171261,1000,1001,3,13,16777215,1001
180.0609575943,1000,1001,4,16,16777215,1001
180.2154600645,1000,1001,4,18,16777215,1001
186.2995844,1000,1001,4,17,16777215,1001
190.1206171281,1000,1001,4,16,16777215,1001
192.1450600665,1000,1001,6,19,16777215,1001
192.264384401,1000,1001,6,18,16777215,1001
196.0854171291,1000,1001,6,18,16777215,1001
203.9201575983,1000,1001,7,19,16777215,1001
204.0746600685,1000,1001,5,16,16777215,1001
208.0150171311,1000,1001,7,18,16777215,1001
210.158784404,1000,1001,5,15,16777215,1001
215.8497576003,1000,1001,5,15,16777215,1001
221.9690600715,1000,1001,9,19,16777215,1001
222.088384406,1000,1001,7,17,16777215,1001
225.9094171341,1000,1001,5,14,16777215,1001
227.7793576023,1000,1001,9,19,16777215,1001
227.9338600725,1000,1001,8,16,16777215,1001
228.053184407,1000,1001,8,15,16777215,1001
233.7441576033,1000,1001,8,18,16777215,1001
234.017984408,1000,1001,9,18,16777215,1001
245.8282600755,1000,1001,7,14,16777215,1001
251.7930600765,1000,1001,10,16,16777215,1001
251.912384411,1000,1001,10,15,16777215,1001
257.6033576073,1000,1001,13,18,16777215,1001
257.7578600775,1000,1001,14,19,16777215,1001
263.5681576083,1000,1001,14,18,16777215,1001
269.806784414,1000,1001,14,18,16777215,1001
275.4977576103,1000,1001,12,15,16777215,1001
281.6170600815,1000,1001,12,16,16777215,1001
281.736384416,1000,1001,12,15,16777215,1001
285.5574171441,1000,1001,14,17,16777215,1001
287.5818600825,1000,1001,18,19,16777215,1001
287.701184417,1000,1001,13,16,16777215,1001
293.5466600835,1000,1001,19,19,16777215,1001
297.4870171461,1000,1001,12,12,16777215,1001
299.3569576143,1000,1001,15,18,16777215,1001
299.630784419,1000,1001,18,18,16777215,1001
303.4518171471,1000,1001,16,18,16777215,1001
305.4762600855,1000,1001,15,15,16777215,1001
311.2865576163,1000,1001,17,18,16777215,1001
311.560384421,1000,1001,15,14,16777215,1001
317.4058600875,1000,1001,13,15,16777215,1001
317.525184422,1000,1001,19,18,16777215,1001
321.3462171501,1000,1001,15,17,16777215,1001
323.3706600885,1000,1001,21,19,16777215,1001
329.1809576193,1000,1001,21,19,16777215,1001
333.2758171521,1000,1001,18,17,16777215,1001
335.1457576203,1000,1001,19,18,16777215,1001
335.419584425,1000,1001,16,17,16777215,1001
339.2406171531,1000,1001,17,17,16777215,1001
341.2650600915,1000,1001,16,15,16777215,1001
347.349184427,1000,1001,21,18,16777215,1001
351.1702171551,1000,1001,19,17,16777215,1001
353.1946600935,1000,1001,22,19,16777215,1001
359.0049576243,1000,1001,22,19,16777215,1001
359.1594600945,1000,1001,23,19,16777215,1001
359.278784429,1000,1001,17,14,16777215,1001
363.0998171571,1000,1001,21,18,16777215,1001
364.9697576253,1000,1001,20,18,16777215,1001
371.0890600965,1000,1001,17,15,16777215,1001
371.208384431,1000,1001,22,18,16777215,1001
377.0538600975,1000,1001,24,19,16777215,1001
380.9942171601,1000,1001,22,18,16777215,1001
382.8641576283,1000,1001,13,14,16777215,1001
383.137984433,1000,1001,20,15,16777215,1001
388.9834600995,1000,1001,27,19,16777215,1001
389.102784434,1000,1001,23,18,16777215,1001
392.9238171621,1000,1001,20,17,16777215,1001
394.7937576303,1000,1001,26,19,16777215,1001
394.9482601005,1000,1001,20,16,16777215,1001
400.7585576313,1000,1001,24,18,16777215,1001
400.9130601015,1000,1001,28,19,16777215,1001
404.8534171641,1000,1001,23,18,16777215,1001
406.997184437,1000,1001,24,18,16777215,1001
412.6881576333,1000,1001,25,18,16777215,1001
412.8426601035,1000,1001,29,19,16777215,1001
416.7830171661,1000,1001,13,13,16777215,1001
418.6529576343,1000,1001,16,14,16777215,1001
424.7722601055,1000,1001,30,19,16777215,1001
424.89158444,1000,1001,27,18,16777215,1001
434.6774171691,1000,1001,26,18,16777215,1001
436.5473576373,1000,1001,29,19,16777215,1001
436.7018601075,1000,1001,31,19,16777215,1001
442.6666601085,1000,1001,32,19,16777215,1001
442.785984443,1000,1001,26,14,16777215,1001
446.6070171711,1000,1001,24,17,16777215,1001
448.4769576393,1000,1001,30,19,16777215,1001
448.750784444,1000,1001,28,18,16777215,1001
458.5366171731,1000,1001,27,18,16777215,1001
460.4065576413,1000,1001,31,19,16777215,1001
460.5610601115,1000,1001,26,15,16777215,1001
464.5014171741,1000,1001,25,17,16777215,1001
466.3713576423,1000,1001,17,14,16777215,1001
466.645184447,1000,1001,29,18,16777215,1001
472.4906601135,1000,1001,33,19,16777215,1001
478.574784449,1000,1001,13,12,16777215,1001
482.3958171771,1000,1001,16,13,16777215,1001
484.4202601155,1000,1001,13,11,16777215,1001
484.53958445,1000,1001,30,18,16777215,1001
494.3254171791,1000,1001,28,17,16777215,1001
496.1953576473,1000,1001,33,18,16777215,1001
496.3498601175,1000,1001,35,19,16777215,1001
496.469184452,1000,1001,25,15,16777215,1001
500.2902171801,1000,1001,29,18,16777215,1001
502.3146601185,1000,1001,36,19,16777215,1001
502.433984453,1000,1001,31,18,16777215,1001
508.1249576493,1000,1001,34,19,16777215,1001
514.363584455,1000,1001,32,18,16777215,1001
518.1846171831,1000,1001,30,18,16777215,1001
520.0545576513,1000,1001,35,19,16777215,1001
520.2090601215,1000,1001,25,16,16777215,1001
524.1494171841,1000,1001,31,18,16777215,1001
526.0193576523,1000,1001,36,19,16777215,1001
526.293184457,1000,1001,16,10,16777215,1001
530.1142171851,1000,1001,17,13,16777215,1001
532.1386601235,1000,1001,37,19,16777215,1001
538.222784459,1000,1001,33,18,16777215,1001
544.0682601255,1000,1001,38,19,16777215,1001
553.9734171891,1000,1001,13,11,16777215,1001
555.8433576573,1000,1001,38,19,16777215,1001
555.9978601275,1000,1001,40,19,16777215,1001
561.8081576583,1000,1001,39,19,16777215,1001
562.081984463,1000,1001,35,18,16777215,1001
567.9274601295,1000,1001,16,11,16777215,1001
571.8678171921,1000,1001,33,17,16777215,1001
573.7377576603,1000,1001,40,19,16777215,1001
573.8922601305,1000,1001,42,19,16777215,1001
574.011584465,1000,1001,36,18,16777215,1001
585.8218601325,1000,1001,43,19,16777215,1001
591.6321576633,1000,1001,26,14,16777215,1001
591.905984468,1000,1001,17,10,16777215,1001
595.7270171961,1000,1001,34,18,16777215,1001
597.7514601345,1000,1001,44,19,16777215,1001
597.870784469,1000,1001,37,18,16777215,1001
607.6566171981,1000,1001,32,17,16777215,1001
609.5265576663,1000,1001,43,19,16777215,1001
609.6810601365,1000,1001,30,17,16777215,1001
613.6214171991,1000,1001,35,18,16777215,1001
615.6458601375,1000,1001,45,19,16777215,1001
