simTime,event,packetSeq,src,dst,currentNode,ttlAfterDecr,chosenVia,nextHopType
136.5074520989,TX_SRC,0,1000,1001,1000,20,16777215,BCAST
136.5671017487,RX_FWD_PRE,0,1000,1001,48,20,16777215,BCAST
136.5671017487,ENQUEUE_FWD,0,1000,1001,48,19,16777215,BCAST
136.5671080373,RX_FWD_PRE,0,1000,1001,47,20,16777215,BCAST
136.5671080373,ENQUEUE_FWD,0,1000,1001,47,19,16777215,BCAST
136.5671100039,RX_FWD_PRE,0,1000,1001,41,20,16777215,BCAST
136.5671100039,ENQUEUE_FWD,0,1000,1001,41,19,16777215,BCAST
136.6461652012,TX_FWD_DATA,0,1000,1001,47,19,40,UNICAST
136.7058214222,RX_FWD_PRE,0,1000,1001,40,19,40,UNICAST
136.7058214222,ENQUEUE_FWD,0,1000,1001,40,18,40,UNICAST
136.8924479382,TX_FWD_DATA,0,1000,1001,41,19,40,UNICAST
136.9521040596,RX_FWD_PRE,0,1000,1001,40,19,40,UNICAST
137.4223665658,TX_FWD_DATA,0,1000,1001,48,19,41,UNICAST
137.4820228822,RX_FWD_PRE,0,1000,1001,41,19,41,UNICAST
137.4872481667,TX_FWD_DATA,0,1000,1001,40,18,33,UNICAST
137.5469045614,RX_FWD_PRE,0,1000,1001,33,18,33,UNICAST
137.5469045614,ENQUEUE_FWD,0,1000,1001,33,17,33,UNICAST
137.7988517106,TX_FWD_DATA,0,1000,1001,33,17,26,UNICAST
137.8585080929,RX_FWD_PRE,0,1000,1001,26,17,26,UNICAST
137.8585080929,ENQUEUE_FWD,0,1000,1001,26,16,26,UNICAST
138.6824293633,TX_FWD_DATA,0,1000,1001,26,16,19,UNICAST
138.7420856265,RX_FWD_PRE,0,1000,1001,19,16,19,UNICAST
138.7420856265,ENQUEUE_FWD,0,1000,1001,19,15,19,UNICAST
139.7371773727,TX_FWD_DATA,0,1000,1001,19,15,12,UNICAST
139.7968337665,RX_FWD_PRE,0,1000,1001,12,15,12,UNICAST
139.7968337665,ENQUEUE_FWD,0,1000,1001,12,14,12,UNICAST
140.0327754227,TX_FWD_DATA,0,1000,1001,12,14,1001,UNICAST
140.0924304307,RX_DST_PRE,0,1000,1001,1001,14,1001,UNICAST
140.0924304307,DELIVERED,0,1000,1001,1001,14,1001,UNICAST
140.0924304307,TX_ACK,0,1001,1000,1001,20,16777215,BCAST
140.1520833869,ENQUEUE_FWD,0,1001,1000,4,19,16777215,BCAST
140.1520835614,ENQUEUE_FWD,0,1001,1000,11,19,16777215,BCAST
140.1520854127,ENQUEUE_FWD,0,1001,1000,5,19,16777215,BCAST
140.1520854387,ENQUEUE_FWD,0,1001,1000,12,19,16777215,BCAST
140.2554900857,TX_FWD_ACK,0,1001,1000,5,19,12,UNICAST
140.753874638,TX_FWD_ACK,0,1001,1000,4,19,5,UNICAST
140.8671869907,TX_FWD_ACK,0,1001,1000,11,19,18,UNICAST
140.9268430393,ENQUEUE_FWD,0,1001,1000,18,18,18,UNICAST
140.9381081415,TX_FWD_ACK,0,1001,1000,18,18,19,UNICAST
140.9977646677,ENQUEUE_FWD,0,1001,1000,19,17,19,UNICAST
143.4722521009,TX_SRC,1,1000,1001,1000,20,16777215,BCAST
143.5319017507,RX_FWD_PRE,1,1000,1001,48,20,16777215,BCAST
143.5319017507,ENQUEUE_FWD,1,1000,1001,48,19,16777215,BCAST
143.5319080393,RX_FWD_PRE,1,1000,1001,47,20,16777215,BCAST
143.5319080393,ENQUEUE_FWD,1,1000,1001,47,19,16777215,BCAST
143.5319100059,RX_FWD_PRE,1,1000,1001,41,20,16777215,BCAST
143.5319100059,ENQUEUE_FWD,1,1000,1001,41,19,16777215,BCAST
143.6109652032,TX_FWD_DATA,1,1000,1001,47,19,40,UNICAST
143.6706214242,RX_FWD_PRE,1,1000,1001,40,19,40,UNICAST
143.6706214242,ENQUEUE_FWD,1,1000,1001,40,18,40,UNICAST
143.8572479402,TX_FWD_DATA,1,1000,1001,41,19,40,UNICAST
143.9169040616,RX_FWD_PRE,1,1000,1001,40,19,40,UNICAST
144.3871665678,TX_FWD_DATA,1,1000,1001,48,19,41,UNICAST
144.4468228842,RX_FWD_PRE,1,1000,1001,41,19,41,UNICAST
144.4520481687,TX_FWD_DATA,1,1000,1001,40,18,33,UNICAST
144.5117045634,RX_FWD_PRE,1,1000,1001,33,18,33,UNICAST
144.5117045634,ENQUEUE_FWD,1,1000,1001,33,17,33,UNICAST
144.7636517126,TX_FWD_DATA,1,1000,1001,33,17,26,UNICAST
144.8233080949,RX_FWD_PRE,1,1000,1001,26,17,26,UNICAST
144.8233080949,ENQUEUE_FWD,1,1000,1001,26,16,26,UNICAST
145.6472293653,TX_FWD_DATA,1,1000,1001,26,16,19,UNICAST
145.7019773737,TX_FWD_ACK,0,1001,1000,19,17,26,UNICAST
145.9975754237,TX_FWD_ACK,0,1001,1000,12,19,19,UNICAST
163.4370521159,TX_SRC,2,1000,1001,1000,20,16777215,BCAST
163.4967017657,RX_FWD_PRE,2,1000,1001,48,20,16777215,BCAST
163.4967017657,ENQUEUE_FWD,2,1000,1001,48,19,16777215,BCAST
163.4967080543,RX_FWD_PRE,2,1000,1001,47,20,16777215,BCAST
163.4967080543,ENQUEUE_FWD,2,1000,1001,47,19,16777215,BCAST
163.4967100209,RX_FWD_PRE,2,1000,1001,41,20,16777215,BCAST
163.4967100209,ENQUEUE_FWD,2,1000,1001,41,19,16777215,BCAST
163.5757652182,TX_FWD_DATA,2,1000,1001,47,19,40,UNICAST
163.6354214392,RX_FWD_PRE,2,1000,1001,40,19,40,UNICAST
163.6354214392,ENQUEUE_FWD,2,1000,1001,40,18,40,UNICAST
