simTime,event,packetSeq,src,dst,currentNode,ttlAfterDecr,chosenVia,nextHopType
132.2232459392,TX_SRC,0,1000,1001,1000,20,16777215,BCAST
132.2828981379,ENQUEUE_FWD,0,1000,1001,27,19,16777215,BCAST
132.2828981389,TX_FWD_DATA,0,1000,1001,27,19,16777215,BCAST
132.2828982861,ENQUEUE_FWD,0,1000,1001,26,19,16777215,BCAST
132.2828982871,TX_FWD_DATA,0,1000,1001,26,19,16777215,BCAST
132.28290266,ENQUEUE_FWD,0,1000,1001,34,19,16777215,BCAST
132.282902661,TX_FWD_DATA,0,1000,1001,34,19,16777215,BCAST
132.2829028237,ENQUEUE_FWD,0,1000,1001,33,19,16777215,BCAST
132.2829028247,TX_FWD_DATA,0,1000,1001,33,19,16777215,BCAST
132.2829037232,ENQUEUE_FWD,0,1000,1001,20,19,16777215,BCAST
132.2829037242,TX_FWD_DATA,0,1000,1001,20,19,16777215,BCAST
132.3425575863,RX_DST_PRE,0,1000,1001,1001,19,16777215,BCAST
132.3425575863,DELIVERED,0,1000,1001,1001,19,16777215,BCAST
132.3425575863,TX_ACK,0,1001,1000,1001,20,16777215,BCAST
132.3425589507,ENQUEUE_FWD,0,1000,1001,32,18,16777215,BCAST
132.3425589517,TX_FWD_DATA,0,1000,1001,32,18,16777215,BCAST
132.3425589746,ENQUEUE_FWD,0,1000,1001,41,18,16777215,BCAST
132.3425589756,TX_FWD_DATA,0,1000,1001,41,18,16777215,BCAST
132.3425593081,ENQUEUE_FWD,0,1000,1001,40,18,16777215,BCAST
132.3425593091,TX_FWD_DATA,0,1000,1001,40,18,16777215,BCAST
132.3425602723,ENQUEUE_FWD,0,1000,1001,13,18,16777215,BCAST
132.3425602733,TX_FWD_DATA,0,1000,1001,13,18,16777215,BCAST
132.4022088184,ENQUEUE_FWD,0,1001,1000,19,19,16777215,BCAST
132.4022088194,TX_FWD_ACK,0,1001,1000,19,19,16777215,BCAST
132.4022114484,ENQUEUE_FWD,0,1001,1000,20,19,16777215,BCAST
132.4022152804,ENQUEUE_FWD,0,1000,1001,48,17,16777215,BCAST
132.4022152814,TX_FWD_DATA,0,1000,1001,48,17,16777215,BCAST
132.4022154945,ENQUEUE_FWD,0,1000,1001,31,17,16777215,BCAST
132.4022154955,TX_FWD_DATA,0,1000,1001,31,17,16777215,BCAST
132.4022163929,ENQUEUE_FWD,0,1000,1001,6,17,16777215,BCAST
132.4022163939,TX_FWD_DATA,0,1000,1001,6,17,16777215,BCAST
132.4618650459,ENQUEUE_FWD,0,1001,1000,26,18,16777215,BCAST
132.4618652113,ENQUEUE_FWD,0,1001,1000,18,18,16777215,BCAST
132.4618652123,TX_FWD_ACK,0,1001,1000,18,18,16777215,BCAST
132.4618666841,ACK_DELIVERED,0,1001,1000,1000,19,16777215,BCAST
132.4618715516,ENQUEUE_FWD,0,1000,1001,38,16,16777215,BCAST
132.4618715526,TX_FWD_DATA,0,1000,1001,38,16,16777215,BCAST
132.4618716953,ENQUEUE_FWD,0,1000,1001,30,16,16777215,BCAST
132.4618716963,TX_FWD_DATA,0,1000,1001,30,16,16777215,BCAST
132.4618718466,ENQUEUE_FWD,0,1000,1001,47,16,16777215,BCAST
132.4618718476,TX_FWD_DATA,0,1000,1001,47,16,16777215,BCAST
132.4618718481,ENQUEUE_FWD,0,1000,1001,24,16,16777215,BCAST
132.4618718491,TX_FWD_DATA,0,1000,1001,24,16,16777215,BCAST
132.4618728674,ENQUEUE_FWD,0,1000,1001,5,16,16777215,BCAST
132.4618728684,TX_FWD_DATA,0,1000,1001,5,16,16777215,BCAST
132.5215216891,ENQUEUE_FWD,0,1001,1000,11,17,16777215,BCAST
132.5215216901,TX_FWD_ACK,0,1001,1000,11,17,16777215,BCAST
132.5215280791,ENQUEUE_FWD,0,1000,1001,29,15,16777215,BCAST
132.5215280801,TX_FWD_DATA,0,1000,1001,29,15,16777215,BCAST
132.5215283976,ENQUEUE_FWD,0,1000,1001,25,15,16777215,BCAST
132.5215283986,TX_FWD_DATA,0,1000,1001,25,15,16777215,BCAST
132.5215290909,ENQUEUE_FWD,0,1000,1001,4,15,16777215,BCAST
132.5215290919,TX_FWD_DATA,0,1000,1001,4,15,16777215,BCAST
132.5215291406,ENQUEUE_FWD,0,1000,1001,12,15,16777215,BCAST
132.5215291416,TX_FWD_DATA,0,1000,1001,12,15,16777215,BCAST
132.5811842262,ENQUEUE_FWD,0,1000,1001,28,14,16777215,BCAST
132.5811842272,TX_FWD_DATA,0,1000,1001,28,14,16777215,BCAST
132.5811844117,ENQUEUE_FWD,0,1000,1001,22,14,16777215,BCAST
132.5811844127,TX_FWD_DATA,0,1000,1001,22,14,16777215,BCAST
132.5811844951,ENQUEUE_FWD,0,1000,1001,36,14,16777215,BCAST
132.5811844961,TX_FWD_DATA,0,1000,1001,36,14,16777215,BCAST
132.6408407598,ENQUEUE_FWD,0,1000,1001,43,13,16777215,BCAST
132.6408407608,TX_FWD_DATA,0,1000,1001,43,13,16777215,BCAST
132.6408407828,ENQUEUE_FWD,0,1000,1001,15,13,16777215,BCAST
132.6408407838,TX_FWD_DATA,0,1000,1001,15,13,16777215,BCAST
132.6408409755,ENQUEUE_FWD,0,1000,1001,23,13,16777215,BCAST
132.6408409765,TX_FWD_DATA,0,1000,1001,23,13,16777215,BCAST
132.7004970339,ENQUEUE_FWD,0,1000,1001,14,12,16777215,BCAST
132.7004970349,TX_FWD_DATA,0,1000,1001,14,12,16777215,BCAST
132.700497083,ENQUEUE_FWD,0,1000,1001,42,12,16777215,BCAST
132.700497084,TX_FWD_DATA,0,1000,1001,42,12,16777215,BCAST
132.7004972564,ENQUEUE_FWD,0,1000,1001,8,12,16777215,BCAST
132.7004972574,TX_FWD_DATA,0,1000,1001,8,12,16777215,BCAST
132.7004972813,ENQUEUE_FWD,0,1000,1001,44,12,16777215,BCAST
132.7004972823,TX_FWD_DATA,0,1000,1001,44,12,16777215,BCAST
132.7601532646,ENQUEUE_FWD,0,1000,1001,21,11,16777215,BCAST
132.7601532656,TX_FWD_DATA,0,1000,1001,21,11,16777215,BCAST
132.7601533197,ENQUEUE_FWD,0,1000,1001,35,11,16777215,BCAST
132.7601533207,TX_FWD_DATA,0,1000,1001,35,11,16777215,BCAST
132.7601535197,ENQUEUE_FWD,0,1000,1001,1,11,16777215,BCAST
132.7601535207,TX_FWD_DATA,0,1000,1001,1,11,16777215,BCAST
132.7601535704,ENQUEUE_FWD,0,1000,1001,37,11,16777215,BCAST
132.7601535714,TX_FWD_DATA,0,1000,1001,37,11,16777215,BCAST
132.7601535833,ENQUEUE_FWD,0,1000,1001,9,11,16777215,BCAST
132.7601535843,TX_FWD_DATA,0,1000,1001,9,11,16777215,BCAST
132.7601535984,ENQUEUE_FWD,0,1000,1001,49,11,16777215,BCAST
132.7601535994,TX_FWD_DATA,0,1000,1001,49,11,16777215,BCAST
132.7601537086,ENQUEUE_FWD,0,1000,1001,45,11,16777215,BCAST
132.7601537096,TX_FWD_DATA,0,1000,1001,45,11,16777215,BCAST
132.8198098101,ENQUEUE_FWD,0,1000,1001,10,10,16777215,BCAST
132.8198098111,TX_FWD_DATA,0,1000,1001,10,10,16777215,BCAST
132.8198098386,ENQUEUE_FWD,0,1000,1001,0,10,16777215,BCAST
132.8198098396,TX_FWD_DATA,0,1000,1001,0,10,16777215,BCAST
132.8198099872,ENQUEUE_FWD,0,1000,1001,46,10,16777215,BCAST
132.8198099882,TX_FWD_DATA,0,1000,1001,46,10,16777215,BCAST
132.8794659539,ENQUEUE_FWD,0,1000,1001,3,9,16777215,BCAST
132.8794659549,TX_FWD_DATA,0,1000,1001,3,9,16777215,BCAST
132.8794661111,ENQUEUE_FWD,0,1000,1001,11,9,16777215,BCAST
132.8794662589,ENQUEUE_FWD,0,1000,1001,17,9,16777215,BCAST
132.8794662599,TX_FWD_DATA,0,1000,1001,17,9,16777215,BCAST
132.8794663134,ENQUEUE_FWD,0,1000,1001,7,9,16777215,BCAST
132.8794663144,TX_FWD_DATA,0,1000,1001,7,9,16777215,BCAST
132.8794664836,ENQUEUE_FWD,0,1000,1001,39,9,16777215,BCAST
132.8794664846,TX_FWD_DATA,0,1000,1001,39,9,16777215,BCAST
132.9391223673,ENQUEUE_FWD,0,1000,1001,2,8,16777215,BCAST
132.9391223683,TX_FWD_DATA,0,1000,1001,2,8,16777215,BCAST
132.9391224722,ENQUEUE_FWD,0,1000,1001,18,8,16777215,BCAST
132.9391227688,ENQUEUE_FWD,0,1000,1001,16,8,16777215,BCAST
132.9391227698,TX_FWD_DATA,0,1000,1001,16,8,16777215,BCAST
138.1880459402,TX_SRC,1,1000,1001,1000,20,16777215,BCAST
138.2476981389,ENQUEUE_FWD,1,1000,1001,27,19,16777215,BCAST
138.2476981399,TX_FWD_DATA,1,1000,1001,27,19,16777215,BCAST
138.2476982871,ENQUEUE_FWD,1,1000,1001,26,19,16777215,BCAST
138.2476982881,TX_FWD_ACK,0,1001,1000,26,18,16777215,BCAST
138.247702661,ENQUEUE_FWD,1,1000,1001,34,19,16777215,BCAST
138.247702662,TX_FWD_DATA,1,1000,1001,34,19,16777215,BCAST
138.2477028247,ENQUEUE_FWD,1,1000,1001,33,19,16777215,BCAST
138.2477028257,TX_FWD_DATA,1,1000,1001,33,19,16777215,BCAST
138.2477037242,ENQUEUE_FWD,1,1000,1001,20,19,16777215,BCAST
138.2477037252,TX_FWD_ACK,0,1001,1000,20,19,16777215,BCAST
138.2477038049,ENQUEUE_FWD,1,1000,1001,19,19,16777215,BCAST
138.3073545558,ENQUEUE_FWD,0,1001,1000,25,17,16777215,BCAST
138.3073593091,ENQUEUE_FWD,1,1000,1001,40,18,16777215,BCAST
138.3073593101,TX_FWD_DATA,1,1000,1001,40,18,16777215,BCAST
138.3073602733,ENQUEUE_FWD,0,1001,1000,13,18,16777215,BCAST
138.3073602743,TX_FWD_ACK,0,1001,1000,13,18,16777215,BCAST
138.3670088204,TX_FWD_DATA,1,1000,1001,19,19,16777215,BCAST
138.3670154342,ENQUEUE_FWD,1,1000,1001,47,17,16777215,BCAST
138.3670156562,ENQUEUE_FWD,1,1000,1001,41,17,16777215,BCAST
138.3670156798,ENQUEUE_FWD,1,1000,1001,39,17,16777215,BCAST
138.3670163939,ENQUEUE_FWD,0,1001,1000,6,17,16777215,BCAST
138.3670163949,TX_FWD_ACK,0,1001,1000,6,17,16777215,BCAST
138.367016466,ENQUEUE_FWD,0,1001,1000,12,17,16777215,BCAST
138.4266600525,RX_DST_PRE,1,1000,1001,1001,19,16777215,BCAST
138.4266600525,DELIVERED,1,1000,1001,1001,19,16777215,BCAST
138.4266600525,TX_ACK,1,1001,1000,1001,20,16777215,BCAST
138.4266652123,ENQUEUE_FWD,1,1000,1001,18,18,16777215,BCAST
138.4266652133,TX_FWD_DATA,0,1000,1001,18,8,16777215,BCAST
138.4266718486,TX_FWD_DATA,1,1000,1001,47,17,16777215,BCAST
138.4266728684,ENQUEUE_FWD,0,1001,1000,5,16,16777215,BCAST
138.4266728694,TX_FWD_ACK,0,1001,1000,5,16,16777215,BCAST
138.4863112846,ENQUEUE_FWD,1,1001,1000,19,19,16777215,BCAST
138.4863139146,ENQUEUE_FWD,1,1001,1000,20,19,16777215,BCAST
138.4863152969,ENQUEUE_FWD,1,1001,1000,12,19,16777215,BCAST
138.4863216911,TX_FWD_DATA,0,1000,1001,11,9,16777215,BCAST
138.486327995,ENQUEUE_FWD,1,1000,1001,46,16,16777215,BCAST
138.4863283996,TX_FWD_ACK,0,1001,1000,25,17,16777215,BCAST
138.4863284138,ENQUEUE_FWD,1,1000,1001,48,16,16777215,BCAST
138.4863290919,ENQUEUE_FWD,0,1001,1000,4,15,16777215,BCAST
138.4863290929,TX_FWD_ACK,0,1001,1000,4,15,16777215,BCAST
138.4863291426,TX_FWD_ACK,0,1001,1000,12,17,16777215,BCAST
138.5459846224,ENQUEUE_FWD,0,1001,1000,32,16,16777215,BCAST
138.5459849481,ENQUEUE_FWD,0,1001,1000,24,16,16777215,BCAST
138.545985606,ENQUEUE_FWD,0,1001,1000,3,14,16777215,BCAST
138.7846099892,TX_FWD_DATA,1,1000,1001,46,16,16777215,BCAST
138.8442659559,TX_FWD_ACK,0,1001,1000,3,14,16777215,BCAST
138.8442662668,ENQUEUE_FWD,1,1000,1001,45,15,16777215,BCAST
138.8442664856,TX_FWD_DATA,1,1000,1001,39,17,16777215,BCAST
138.9039220987,ENQUEUE_FWD,0,1001,1000,10,13,16777215,BCAST
138.9039223683,ENQUEUE_FWD,0,1001,1000,2,13,16777215,BCAST
138.9039223693,TX_FWD_ACK,0,1001,1000,2,13,16777215,BCAST
138.9039227315,ENQUEUE_FWD,1,1000,1001,32,16,16777215,BCAST
138.9039228696,ENQUEUE_FWD,1,1000,1001,38,16,16777215,BCAST
138.9635784695,ENQUEUE_FWD,0,1001,1000,1,12,16777215,BCAST
138.9635786491,ENQUEUE_FWD,0,1001,1000,9,12,16777215,BCAST
139.3073589537,TX_FWD_ACK,0,1001,1000,32,16,16777215,BCAST
139.3073589776,TX_FWD_DATA,1,1000,1001,41,17,16777215,BCAST
139.3670151996,ENQUEUE_FWD,0,1001,1000,39,15,16777215,BCAST
139.3670152834,TX_FWD_DATA,1,1000,1001,48,16,16777215,BCAST
139.3670154965,ENQUEUE_FWD,0,1001,1000,31,15,16777215,BCAST
139.3670154975,TX_FWD_ACK,0,1001,1000,31,15,16777215,BCAST
139.4266715536,ENQUEUE_FWD,0,1001,1000,38,14,16777215,BCAST
139.4266715546,TX_FWD_DATA,1,1000,1001,38,16,16777215,BCAST
139.4266716973,ENQUEUE_FWD,0,1001,1000,30,14,16777215,BCAST
139.4266716983,TX_FWD_ACK,0,1001,1000,30,14,16777215,BCAST
139.4266718511,TX_FWD_ACK,0,1001,1000,24,16,16777215,BCAST
139.4863279648,ENQUEUE_FWD,0,1001,1000,37,13,16777215,BCAST
139.4863281562,ENQUEUE_FWD,0,1001,1000,23,13,16777215,BCAST
139.4863282979,ENQUEUE_FWD,0,1001,1000,17,15,16777215,BCAST
139.6056409785,TX_FWD_ACK,0,1001,1000,23,13,16777215,BCAST
139.6652974925,ENQUEUE_FWD,0,1001,1000,16,12,16777215,BCAST
139.6652975413,ENQUEUE_FWD,0,1001,1000,22,12,16777215,BCAST
139.7249535227,TX_FWD_ACK,0,1001,1000,1,12,16777215,BCAST
139.7249535734,TX_FWD_ACK,0,1001,1000,37,13,16777215,BCAST
139.7249535863,TX_FWD_ACK,0,1001,1000,9,12,16777215,BCAST
139.7249537116,TX_FWD_DATA,1,1000,1001,45,15,16777215,BCAST
139.7846098131,TX_FWD_ACK,0,1001,1000,10,13,16777215,BCAST
139.7846098406,ENQUEUE_FWD,0,1001,1000,0,11,16777215,BCAST
139.7846098416,TX_FWD_ACK,0,1001,1000,0,11,16777215,BCAST
139.7846100913,ENQUEUE_FWD,0,1001,1000,36,12,16777215,BCAST
139.8442662619,TX_FWD_ACK,0,1001,1000,17,15,16777215,BCAST
139.8442663154,ENQUEUE_FWD,0,1001,1000,7,10,16777215,BCAST
139.8442663164,TX_FWD_ACK,0,1001,1000,7,10,16777215,BCAST
139.9039227718,TX_FWD_ACK,0,1001,1000,16,12,16777215,BCAST
139.9039227738,ENQUEUE_FWD,0,1001,1000,8,9,16777215,BCAST
139.9039228196,ENQUEUE_FWD,0,1001,1000,14,9,16777215,BCAST
139.963579019,ENQUEUE_FWD,0,1001,1000,15,11,16777215,BCAST
140.5459844157,TX_FWD_ACK,0,1001,1000,22,12,16777215,BCAST
